700
The positions are
AR 7.500000 2.500000 0.500000
AR 7.500000 2.500000 1.500000
AR 7.500000 2.500000 2.500000
AR 7.500000 2.500000 3.500000
AR 7.500000 2.500000 4.500000
AR 7.500000 2.500000 6.500000
AR 7.500000 2.500000 7.500000
AR 7.500000 2.500000 8.500000
AR 7.500000 3.500000 1.500000
AR 7.500000 3.500000 2.500000
AR 7.500000 3.500000 3.500000
AR 7.500000 3.500000 4.500000
AR 7.500000 3.500000 5.500000
AR 7.500000 3.500000 6.500000
AR 7.500000 3.500000 7.500000
AR 7.500000 3.500000 8.500000
AR 7.500000 4.500000 0.500000
AR 7.500000 4.500000 1.500000
AR 7.500000 4.500000 2.500000
AR 7.500000 4.500000 3.500000
AR 7.500000 4.500000 4.500000
AR 7.500000 4.500000 5.500000
AR 7.500000 4.500000 6.500000
AR 7.500000 4.500000 7.500000
AR 7.500000 4.500000 9.500000
AR 7.500000 5.500000 2.500000
AR 7.500000 5.500000 4.500000
AR 7.500000 5.500000 6.500000
AR 7.500000 5.500000 7.500000
AR 7.500000 5.500000 8.500000
AR 7.500000 6.500000 0.500000
AR 7.500000 6.500000 1.500000
AR 7.500000 6.500000 3.500000
AR 7.500000 6.500000 4.500000
AR 7.500000 6.500000 5.500000
AR 7.500000 6.500000 6.500000
AR 7.500000 6.500000 7.500000
AR 7.500000 6.500000 8.500000
AR 7.500000 6.500000 9.500000
AR 7.500000 7.500000 0.500000
AR 7.500000 7.500000 1.500000
AR 7.500000 7.500000 2.500000
AR 7.500000 7.500000 3.500000
AR 7.500000 7.500000 5.500000
AR 7.500000 7.500000 6.500000
AR 7.500000 8.500000 0.500000
AR 7.500000 8.500000 2.500000
AR 7.500000 8.500000 4.500000
AR 7.500000 8.500000 5.500000
AR 7.500000 8.500000 6.500000
AR 7.500000 8.500000 7.500000
AR 7.500000 8.500000 8.500000
AR 7.500000 8.500000 9.500000
AR 7.500000 9.500000 0.500000
AR 7.500000 9.500000 1.500000
AR 7.500000 9.500000 3.500000
AR 7.500000 9.500000 4.500000
AR 7.500000 9.500000 6.500000
AR 7.500000 9.500000 7.500000
AR 7.500000 9.500000 8.500000
AR 7.500000 9.500000 9.500000
AR 8.500000 0.500000 0.500000
AR 8.500000 0.500000 1.500000
AR 8.500000 0.500000 2.500000
AR 8.500000 0.500000 4.500000
AR 8.500000 0.500000 5.500000
AR 8.500000 0.500000 7.500000
AR 8.500000 0.500000 8.500000
AR 8.500000 0.500000 9.500000
AR 8.500000 1.500000 0.500000
AR 8.500000 1.500000 2.500000
AR 8.500000 1.500000 3.500000
AR 8.500000 1.500000 5.500000
AR 8.500000 1.500000 6.500000
AR 8.500000 1.500000 8.500000
AR 8.500000 2.500000 2.500000
AR 8.500000 2.500000 7.500000
AR 8.500000 2.500000 8.500000
AR 8.500000 2.500000 9.500000
AR 8.500000 3.500000 0.500000
AR 8.500000 3.500000 1.500000
AR 8.500000 3.500000 2.500000
AR 8.500000 3.500000 3.500000
AR 8.500000 3.500000 5.500000
AR 8.500000 3.500000 7.500000
AR 8.500000 3.500000 8.500000
AR 8.500000 4.500000 3.500000
AR 8.500000 4.500000 4.500000
AR 8.500000 4.500000 5.500000
AR 8.500000 4.500000 6.500000
AR 8.500000 4.500000 8.500000
AR 8.500000 4.500000 9.500000
AR 8.500000 5.500000 0.500000
AR 8.500000 5.500000 1.500000
AR 8.500000 5.500000 2.500000
AR 8.500000 5.500000 3.500000
AR 8.500000 5.500000 4.500000
AR 8.500000 5.500000 5.500000
AR 8.500000 5.500000 7.500000
AR 8.500000 5.500000 8.500000
AR 8.500000 6.500000 0.500000
AR 8.500000 6.500000 3.500000
AR 8.500000 6.500000 6.500000
AR 8.500000 6.500000 7.500000
AR 8.500000 6.500000 8.500000
AR 8.500000 6.500000 9.500000
AR 8.500000 7.500000 0.500000
AR 8.500000 7.500000 1.500000
AR 8.500000 7.500000 2.500000
AR 8.500000 7.500000 3.500000
AR 8.500000 7.500000 4.500000
AR 8.500000 7.500000 5.500000
AR 8.500000 7.500000 6.500000
AR 8.500000 7.500000 7.500000
AR 8.500000 7.500000 8.500000
AR 8.500000 7.500000 9.500000
AR 8.500000 8.500000 2.500000
AR 8.500000 8.500000 4.500000
AR 8.500000 8.500000 5.500000
AR 8.500000 8.500000 7.500000
AR 8.500000 8.500000 9.500000
AR 8.500000 9.500000 2.500000
AR 8.500000 9.500000 5.500000
AR 8.500000 9.500000 6.500000
AR 8.500000 9.500000 7.500000
AR 9.500000 0.500000 1.500000
AR 9.500000 0.500000 2.500000
AR 9.500000 0.500000 3.500000
AR 9.500000 0.500000 4.500000
AR 9.500000 0.500000 5.500000
AR 9.500000 0.500000 7.500000
AR 9.500000 0.500000 8.500000
AR 9.500000 0.500000 9.500000
AR 9.500000 1.500000 0.500000
AR 9.500000 1.500000 1.500000
AR 9.500000 1.500000 2.500000
AR 9.500000 1.500000 4.500000
AR 9.500000 1.500000 5.500000
AR 9.500000 1.500000 7.500000
AR 9.500000 2.500000 2.500000
AR 9.500000 2.500000 3.500000
AR 9.500000 2.500000 4.500000
AR 9.500000 2.500000 5.500000
AR 9.500000 2.500000 6.500000
AR 9.500000 2.500000 7.500000
AR 9.500000 2.500000 8.500000
AR 9.500000 2.500000 9.500000
AR 9.500000 3.500000 0.500000
AR 9.500000 3.500000 2.500000
AR 9.500000 3.500000 3.500000
AR 9.500000 3.500000 4.500000
AR 9.500000 3.500000 5.500000
AR 9.500000 3.500000 7.500000
AR 9.500000 3.500000 8.500000
AR 9.500000 3.500000 9.500000
AR 9.500000 4.500000 1.500000
AR 9.500000 4.500000 2.500000
AR 9.500000 4.500000 3.500000
AR 9.500000 4.500000 4.500000
AR 9.500000 4.500000 5.500000
AR 9.500000 4.500000 6.500000
AR 9.500000 4.500000 8.500000
AR 9.500000 4.500000 9.500000
AR 9.500000 5.500000 0.500000
AR 9.500000 5.500000 2.500000
AR 9.500000 5.500000 3.500000
AR 9.500000 5.500000 5.500000
AR 9.500000 5.500000 6.500000
AR 9.500000 5.500000 7.500000
AR 9.500000 6.500000 0.500000
AR 9.500000 6.500000 2.500000
AR 9.500000 6.500000 3.500000
AR 9.500000 6.500000 4.500000
AR 9.500000 6.500000 5.500000
AR 9.500000 6.500000 6.500000
AR 9.500000 6.500000 7.500000
AR 9.500000 6.500000 8.500000
AR 9.500000 6.500000 9.500000
AR 9.500000 7.500000 0.500000
AR 9.500000 7.500000 1.500000
AR 9.500000 7.500000 2.500000
AR 9.500000 7.500000 3.500000
AR 9.500000 7.500000 8.500000
AR 9.500000 7.500000 9.500000
AR 9.500000 8.500000 0.500000
AR 9.500000 8.500000 1.500000
AR 9.500000 8.500000 7.500000
AR 9.500000 8.500000 8.500000
AR 9.500000 8.500000 9.500000
AR 9.500000 9.500000 0.500000
AR 9.500000 9.500000 1.500000
AR 9.500000 9.500000 3.500000
AR 9.500000 9.500000 5.500000
AR 9.500000 9.500000 6.500000
AR 9.500000 9.500000 7.500000
AR 9.500000 9.500000 8.500000
AR 9.500000 9.500000 9.500000
